ID,TIMESTAMP,STUDY_NUSH,LEVEL,GENDER,AWARE,OFTEN,EAT_SCHOOL,THROW,THROW_OFTEN,THROW_KIND,THROW_AMOUNT,THROW_WHY,THROW_EFFORT,SEE,KIND,AVERAGE,EFFORT,SUGGESTIONS
1,2022/09/08 8:34:47 PM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Rarely,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,"i think students play the biggest part, they should order only whatever they need, especially when stalls have already given the option to ask for a smaller portion."
2,2022/09/08 8:35:04 PM GMT+8,Yes,Sec 2 (Year 2),four,Yes,Sometimes,Yes,Yes,A few times a week,Meat/Proteins,A few bites,cuz i cant finish bruh why else. i mean yea i can bring it home but too lazy so just throw ig.,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks;four,A quarter of a meal,Yes,bring their own lunchboxes so that they can get the right amount of portions from each stall when buying food
3,2022/09/08 8:36:07 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Sometimes,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,"educating students not to purchase more food than they can eat, and also educating both the students and food stall owners about parts of foods that can still be eaten that are usually wasted"
4,2022/09/08 8:36:16 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Rarely,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Snacks,Half of a meal,Yes,give food in smaller portions
5,2022/09/08 8:38:17 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Often,Yes,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,"you see in china we have the thing where finishing your food is disrespectful /hj
on a serious note the majority of school food tastes like trash",Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,git gud at cooking
6,2022/09/08 8:39:28 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates,A few bites,vendors give goofy amounts of food sometimes,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,vendors can give smaller portions
7,2022/09/08 8:39:51 PM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,We couldn't finish it.,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,punishment and reward
8,2022/09/08 8:40:26 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Often,Yes,Yes,A few times a month,Rice/Carbohydrates;Snacks,A few bites,there's mould growing on it,Yes,A few times a week,Rice/Carbohydrates;Snacks,A few bites,Yes,"Reduced portions (lowered price too smh smh) 
Increased awareness (like this one)"
9,2022/09/08 8:41:06 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,No,No,,,,,,A few times a week,Rice/Carbohydrates;Snacks,A few bites,Yes,Possibly by introducing composting initiatives along with making food options more viable for composting?
10,2022/09/08 8:42:14 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,Yes,No,,,,,,A few times a week,Vegetables;Meat/Proteins,A few bites,Yes,have an option to select which ingredients to not give on plates
